Quality,Angle (degrees),Distance (mm),Rotation
1,145,138,0.0
1,0,1143,0.0
1,1,1131,0.0
1,12,440,0.0
1,17,325,0.0
1,18,315,0.0
1,29,233,0.0
1,135,160,0.0
1,144,139,0.0
1,1,1139,0.0
1,18,320,0.0
1,130,190,0.0
1,0,1772,0.0
1,1,1142,0.0
1,3,1156,0.0
1,17,326,0.0
1,19,300,0.0
1,29,237,0.0
1,37,161,0.0
1,41,178,0.0
1,46,162,0.0
1,0,1686,0.0
1,1,1150,0.0
1,5,734,0.0
1,14,402,0.0
1,15,367,0.0
1,26,217,0.0
1,27,228,0.0
1,132,175,0.0
1,150,130,0.0
1,0,1432,0.0
1,1,1159,0.0
1,2,1144,0.0
1,3,1148,0.0
1,39,174,0.0
1,0,1719,0.0
1,3,1158,0.0
1,13,420,0.0
1,18,307,0.0
1,27,223,0.0
1,28,229,0.0
1,44,164,0.0
1,178,113,0.0
1,0,1457,0.0
1,13,428,0.0
1,28,225,0.0
1,36,175,0.0
1,43,160,0.0
1,129,187,0.0
1,0,2131,0.0
1,8,695,0.0
1,12,456,0.0
1,17,333,0.0
1,18,310,0.0
1,36,192,0.0
1,43,165,0.0
1,130,182,0.0
1,0,1166,0.0
1,2,1138,0.0
1,8,698,0.0
1,16,338,0.0
1,30,227,0.0
1,45,160,0.0
1,144,140,0.0
1,152,128,0.0
1,0,1163,0.0
1,4,765,0.0
1,8,687,0.0
1,0,3373,0.0
1,20,290,0.0
1,31,223,0.0
1,32,215,0.0
1,0,3348,0.0
1,16,355,0.0
1,19,305,0.0
1,28,224,0.0
1,35,190,0.0
1,44,165,0.0
1,133,162,0.0
1,0,3381,0.0
1,3,1152,0.0
1,8,907,0.0
1,15,358,0.0
1,128,186,0.0
1,0,1174,0.0
1,1,1160,0.0
1,8,686,0.0
1,16,357,0.0
1,17,334,0.0
1,29,232,0.0
1,168,112,0.0
1,1,1154,0.0
1,6,695,0.0
1,13,431,0.0
1,16,352,0.0
1,18,322,0.0
1,19,287,0.0
1,38,180,0.0
1,0,1169,0.0
1,1,1157,0.0
1,1,1144,0.0
1,0,2257,0.0
1,8,1094,0.0
1,12,449,0.0
1,26,228,0.0
1,39,180,0.0
1,0,3378,0.0
1,8,1092,0.0
1,41,174,0.0
1,51,150,0.0
1,57,141,0.0
1,126,183,0.0
1,130,184,0.0
1,0,3362,0.0
1,7,709,0.0
1,8,833,0.0
1,36,191,0.0
1,129,188,0.0
1,134,163,0.0
1,3,1151,0.0
1,14,398,0.0
1,18,318,0.0
1,36,158,0.0
